xi,xj,LLM_model,prompt_id
With a laugh,"With a laugh about his friend and friend's death, Mr.",GPT-2,642
As they created,"As they created the plan of attack there was no idea that the attacks would blow out, although the Syrian regime had already warned of the effect if it failed in its counter-attack.",GPT-2,32
The bell chimed,"The bell chimed, and the door opened.",Falcon-7B,321
A sudden noise,"A sudden noise in the night, a strange light in the sky, a mysterious figure lurking in the shadows.",Falcon-7B,1
The bird flew,The bird flew away.,OPT,326
The alarm sounded,"The alarm sounded, and the two men rushed in.",BLOOM,307
"Carefully, he lifted","Carefully, he lifted the lid of the box.",Falcon-7B,74
As day ended,"As day ended, and people drifted back to the warmth of the living rooms, he looked around the room again.",GPT-Neo,7
The code compiled,"The code compiled, but the game crashes when I try to load it.",OPT,374
The ice cracked,"The ice cracked on October 1st, with a 1:54 mark.",GPT-2,449
The clay formed,The clay formed by the clay in the clay in the clay in the clay in the clay in the clay in the clay in the clay in the clay in the clay in the clay in the clay in the clay in the clay in the clay in,OPT,369
The bell echoed,"The bell echoed and he looked up to see a couple of soldiers who had been watching him from a distance, staring up at him.",GPT-Neo,322
The clay formed,The clay formed in the clay bed during the pouring of the concrete was later smoothed out in this machine.,GPT-Neo,369
The leaves rustled,"The leaves rustled, but it still felt as fresh as ever.",GPT-2,470
The rain pattered,The rain pattered on the roof of the car as we drove down the highway.,Falcon-7B,532
The door opened,"The door opened, and she walked through.",GPT-2,404
The snow crunched,The snow crunched under my boots as I walked through the woods.,Falcon-7B,555
The grass swayed,"The grass swayed in the wind, and the wind swayed in the grass.",BLOOM,444
With a sigh,"With a sigh, I put the phone down.",Falcon-7B,648
The ice melted,The ice melted.,OPT,452
In the classroom,"In the classroom, at work and at home, you'll find those things that make you shine, and they're what's really special about the job.",GPT-2,159
The crowd roared,"The crowd roared and cheered, and the audience applauded and cheered.",BLOOM,384
She found the,She found the perfect gift for the guy in my life this year!,GPT-Neo,245
As night approached,"As night approached, a few of the boys remained to help me finish loading what was left of the wagon: The last load of fuel and fresh-cut lumber, which was a good deal lighter than the one before.",GPT-Neo,13
The chemicals reacted,"The chemicals reacted differently to the same substance for 5 days, so the levels are just as high.",GPT-2,364
As day ended,"As day ended, the world was still in shock.",OPT,7
As they drove,"As they drove, the sun was setting and the sky was a beautiful pink and orange.",Falcon-7B,35
The sword gleamed,"The sword gleamed in the light, just as the man did.",GPT-Neo,577
The cat purred,The cat purred and the cat was very tired.,BLOOM,359
With a flourish,"With a flourish of the hand, the man who had
been the chief of the band, and who had been the chief of the
band, was now in the midst of the crowd, and the crowd was
disgusted.",BLOOM,634
The dog barked,The dog barked.,GPT-2,397
"Gently, he pushed","Gently, he pushed her back against the wall.",OPT,89
With a shrug,"With a shrug, the man in the white coat said, “I’m not sure.",Falcon-7B,647
As they analyzed,"As they analyzed the data from study one, participants decided how to allocate their time to the three topics.",GPT-Neo,23
The keys played,"The keys played after a ""short pause"", as in a 'long pause' sequence, with the next four keystrokes played simultaneously.",GPT-2,459
The leaves fluttered,"The leaves fluttered, she opened her mouth and let the bright, hot sun fill her lungs and fill her body.",GPT-Neo,469
With applause,"With applause and cheers, the 2018-19 school year was officially kicked off at the 2018-19 Opening Convocation on Aug.",Falcon-7B,664
She stood up,She stood up for herself and she's a fucking hero.,OPT,274
The camera zoomed,The camera zoomed out the front.,GPT-2,344
With a beep,"With a beep, the door opened and a man entered.",BLOOM,620
He searched for,He searched for a way to get out of the situation.,OPT,130
The meal came,The meal came.,GPT-2,484
"Quietly, he crept","Quietly, he crept into the room.",Falcon-7B,216
"Gently, he pushed","Gently, he pushed her back against the wall.",OPT,89
The waterfall roared,"The waterfall roared off the ground, and it was just like that.",GPT-2,601
The rain fell,"The rain fell in sheets, and the wind blew in gusts.",Falcon-7B,531
The treasure revealed,"The treasure revealed in the new trailer for The Witcher 3: Wild Hunt
The Witcher 3: Wild Hunt is coming to PC, PS4, and Xbox One on November 17.",OPT,591
In the distance,"In the distance, we can see the blue sky.",GPT-Neo,169
"Carefully, she planted","Carefully, she planted her hand beneath his shoulder, and it was hard to see his face, but he was clearly feeling his way.",GPT-2,87
As day began,"As day began to break, I saw the first sign of dawn that morning on our walk around our property: small yellow lights in the branches of a few trees lit up by the first rays of the sun.",GPT-Neo,5
The city slept,The city slept.,Falcon-7B,368
The art emerged,The art emerged after an 18 year-old boy was killed in two separate terror attacks that led to his death in a car park in Turkey where he belonged to.,GPT-2,310
In the silence,"In the silence, I could also hear his son.",GPT-2,203
The kite dipped,The kite dipped in the sky over the water.,GPT-Neo,461
The chalk dust,The chalk dust is flying in the classroom.,Falcon-7B,361
The train departed,The train departed.,GPT-Neo,587
With a snap,"With a snap of the fingers, the 2018-19 season is over.",Falcon-7B,650
The fish bit,The fish bit the hook and the hook bit back.,Falcon-7B,426
With a gasp,With a gasp from Ms.,GPT-2,637
The music soared,"The music soared to a crescendo, and the audience was filled with the energy of the band.",BLOOM,498
The curtains fluttered,The curtains fluttered in the breeze as the sun set over the horizon.,Falcon-7B,390
"Quietly, she crept","Quietly, she crept into the room, and
looked at the clock.",BLOOM,224
"Gently, she touched","Gently, she touched the tip of her tongue to the head of his cock.",Falcon-7B,102
The dog wagged,"The dog wagged her tail, and we left the kitchen.",GPT-Neo,400
As they climbed,"As they climbed the hill, which at first seemed steep, they knew they should not be at all concerned.",GPT-2,30
The orchestra swelled,The orchestra swelled with the sound of the orchestra.,OPT,505
As they danced,"As they danced on the other side of the room, a white man suddenly yelled ""Help me, son of a bitch!",GPT-2,33
He reached for,"He reached for the door, which was already open, but before he could get out, the door slammed shut behind him.",GPT-Neo,123
The kite soared,"The kite soared high above the clouds, and the wind was blowing hard.",OPT,463
As they talked,As they talked I noticed their faces to be just the same: solemn and serious.,GPT-Neo,60
"Silently, she crept","Silently, she crept into the room, and, as she
went, she saw that the door was locked.",BLOOM,281
He looked up,He looked up at the sky and saw a cloud of stars.,BLOOM,118
The fire dwindled,"The fire dwindled to a few embers, and the smoke drifted away.",Falcon-7B,421
As they listened,"As they listened to the music, the students were asked to write down their thoughts about the music.",Falcon-7B,46
The phone rang,The phone rang.,Falcon-7B,515
The door slammed,The door slammed shut behind me.,Falcon-7B,405
With a smile,"With a smile, a hug, and a kiss,
I'll be there to help you through the rough times.",Falcon-7B,649
As they exercised,"As they exercised their right to vote in the 2016 presidential election, many Americans were surprised to learn that their votes were not counted.",Falcon-7B,39
The book fell,The book fell open to a page that had a picture of a man and a woman.,Falcon-7B,332
The fire crackled,The fire crackled and crackled.,OPT,418
The storm brewed,The storm brewed up in an hour by the time the first couple of the four people died.,GPT-2,568
She closed her,She closed her eyes and opened her mouth.,OPT,237
"Quietly, she moved","Quietly, she moved on to writing novels based on her own experiences, as well as novels that were inspired by contemporary political events such as the Iran-Contra scandal and the Vietnam War.",GPT-2,227
The crowd gathered,"The crowd gathered at the corner of 14th and U streets NW on a recent Saturday afternoon was a mix of young and old, black and white, gay and straight.",Falcon-7B,383
The fish bit,"The fish bit the fish, and the fish bit the fish.",BLOOM,426
With a leap,"With a leap of faith, a new life begins
By:
Lori Hinnant
- Staff Writer
A leap of faith is what it took for a 23-year-old woman to leave her home in the United States and",Falcon-7B,643
The rain pattered,The rain pattered on the roof of the car as we drove down the highway.,Falcon-7B,532
The snow melted,The snow melted and melted to the point that many parts of the ground below the ground froze.,GPT-2,557
In the lobby,In the lobby are the men who have come to support her.,GPT-2,186
The grass rustled,"The grass rustled under his elbow, and he stepped off the couch, but the door behind him swung open and a man stood on guard for his life.",GPT-2,443
As time passed,"As time passed, the number of people who were interested in the game of poker increased.",Falcon-7B,67
"Gently, he stroked","Gently, he stroked the scar of the old man, for he was in the
middle of the night, yet it took the life from him in an instant, but
that he might live, he was silent.",GPT-Neo,90
"Gently, he touched","Gently, he touched the girl's face and said, ""You're not the only one who needs to be rescued.",BLOOM,92
The balloon floated,"The balloon floated a few metres into the air while the others tried to make contact with it, but got stuck.",GPT-2,319
With a frown,"With a frown, the man said, “You’re not the only one who’s been in trouble.",BLOOM,635
He planted the,He planted the seed.,GPT-2,121
The car stopped,The car stopped at the corner of the road and the driver was stopped by the police.,BLOOM,355
The car swerved,The car swerved and the driver was hit by a car.,BLOOM,356
The fire sparked,The fire sparked by an incident at the hotel's guest room where she had been staying for two nights earlier.,GPT-2,424
She discovered the,"She discovered the incident, which he said was a hoax, hours before she was to start her college degree.",GPT-2,241
The engine roared,The engine roared to life as two large aircraft filled with a mix of explosive and mechanical fuel tanks crashed near the South China Sea.,GPT-2,412
She looked down,"She looked down at the floor, her eyes wide and her mouth open.",Falcon-7B,250
With a laugh,"With a laugh, I would not have thought it possible to get a woman's attention within a year, but in just two years time, I've got three daughters, two sons and three grandchildren, to date, and one great wife and two great",GPT-2,642
The waves crashed,"The waves crashed into the trees, and the trees fell apart.",BLOOM,603
The timer stopped,"The timer stopped, as she held her breath as she saw her first person to come closer to her.",GPT-2,582
The grass swayed,"The grass swayed in the wind, and the wind swayed in the grass.",BLOOM,444
"Gently, she rocked","Gently, she rocked her hair and looked at him.",BLOOM,99
"Quietly, he entered","Quietly, he entered the door when he heard the loud clang.",GPT-2,217
With a laugh,"With a laugh, I said, “Well, I don’t know.",BLOOM,642
The rooster crowed,The rooster crowed as if he could swallow a lion.,GPT-2,542
With applause,"With applause, he added; ""That is why I came into politics.",GPT-2,664
The smoke cleared,"The smoke cleared, and the young man ran down to the building where he was arrested for murder.",GPT-2,552
The water rippled,The water rippled in small cascades across the sand that had been swept clear of all life.,GPT-Neo,599
In the laboratory,"In the laboratory, the results of the experiments were compared with the results of the experiments in the field.",BLOOM,182
With a breath,"With a breath of fresh air, the new season of “The Voice” is here.",OPT,622
The idea formed,The idea formed in my head as I was walking home from the gym.,Falcon-7B,453
"Quietly, she sang","Quietly, she sang the song of her people.",OPT,228
As they argued,"As they argued, the two men were in the middle of a heated argument when the woman pulled out a gun and shot the man in the chest.",OPT,24
He looked down,"He looked down at the book with awe, as it should have been a thing of beauty, that had belonged to one of the oldest and greatest of all the heroes and gods.",GPT-Neo,117
With a shrug,"With a shrug, the man in the white coat said, “I’m not sure.",Falcon-7B,647
As morning broke,"As morning broke, the last of the protesters were already walking away as police escorted them out of the main square.",GPT-Neo,11
In the classroom,"In the classroom, students are expected to be able to use the computer to solve problems.",BLOOM,159
As they encored,"As they encored the show, they said that they were going to do a ""special"" episode of the show.",OPT,37
"Gently, he pushed","Gently, he pushed her back down on the bed.",Falcon-7B,89
Under the stars,"Under the stars, the stars are the stars.",BLOOM,618
With a leap,"With a leap in performance a few months ago, the Lenovo ThinkPad Yoga is now on display at its first public event, with Lenovo CEO Brad Smith presenting the new laptop, which promises to transform what we consider a 'gaming' laptop into one that",GPT-Neo,643
The timer stopped,"The timer stopped, and the door opened.",BLOOM,582
With a sigh,"With a sigh, she rubbed her hands together.",GPT-Neo,648
The crust stretched,The crust stretched out like a rubber band.,OPT,386
With a sigh,"With a sigh of relief, I looked at the other two.",BLOOM,648
The test passed,The test passed.,Falcon-7B,580
With a shrug,"With a shrug to say it, I said ""I'm just going to be honest with you.",GPT-2,647
The flowers bloomed,"The flowers bloomed in the spring, and the birds sang in the early summer, and the children's hearts were full of songs.",GPT-Neo,433
The orchestra swelled,"The orchestra swelled with emotion as she moved her hands up and down, pulling herself close.",GPT-2,505
"Carefully, she placed","Carefully, she placed her hand on mine.",GPT-2,86
The crowd cheered,The crowd cheered as well.,GPT-2,382
The fire blazed,"The fire blazed in the kitchen, and the fire was
already burning in the kitchen.",BLOOM,417
As they tested,"As they tested the effect of the different types of the drugs on the levels of the neurotransmitters in the brain, they found that the most effective were the benzodiazepines, the antipsychotics, the anticonvulsants,",BLOOM,62
In the closet,In the closet?,OPT,160
"Gently, she massaged","Gently, she massaged his thigh until he sighed and the tension disappeared.",GPT-Neo,95
The train departed,The train departed from the station at 7:30am and arrived at the station at 8:30am.,OPT,587
In the closet,In the closet?,OPT,160
The tree swayed,The tree swayed and the wind blew.,BLOOM,592
The day passed,The day passed in a blur.,Falcon-7B,393
In the corridor,"In the corridor, the first group of students was taught by the first author, and the second group was taught by the second author.",BLOOM,163
As they argued,"As they argued, the ""fairness"" of the system was not a matter of whether the system was fair or not.",BLOOM,24
As they ran,"As they ran out of money, they had to sell the rights to the game to a third party.",OPT,52
In the safari,In the safari in the middle of the lake you will probably want to find another way to catch it and then take the way up.,GPT-2,199
With a laugh,"With a laugh, I turned to her and asked, ""Why do I have to do this?",GPT-Neo,642
The door opened,The door opened and the man entered.,BLOOM,404
Yesterday I went,"Yesterday I went to see my brother, who is gay and very sick.",GPT-Neo,670
The rain poured,"The rain poured down on the field at the University of Phoenix Stadium in Glendale, Arizona, but the sun was shining on the Arizona Cardinals.",Falcon-7B,533
The crowd cheered,"The crowd cheered when he said ""I'm not a racist""
I was there and I was like ""oh shit, he's not racist""",OPT,382
"Quietly, she crept","Quietly, she crept into the room.",Falcon-7B,224
The future neared,The future neared.,Falcon-7B,436
The canvas came,The canvas came back to life in my hand.,GPT-Neo,351
She reached for,She reached for the door and opened it.,BLOOM,260
He stood up,He stood up and asked me what it was and why I hadn't been willing to see it myself.,GPT-2,134
The door opened,The door opened and the man entered.,BLOOM,404
With a crescendo,"With a crescendo of violence, the Taliban seized control of the northern Afghan city of Mazar-i-Sharif on Sunday, the latest in a series of victories for the insurgents as they seek to take control of the country's",OPT,632
The sun set,"The sun set on the last day of the year, and the last day of the year was the last day of the year.",OPT,574
The door creaked,The door creaked open and the door closed.,OPT,403
"Slowly, he typed","Slowly, he typed the following message:

""I've been in touch with your department since yesterday, and this is going to be our best meeting to date.",GPT-2,293
He researched the,"He researched the topic for a year and a half, and then wrote a book about it.",Falcon-7B,127
"Slowly, he stirred","Slowly, he stirred himself and said: 'Of course I did.",GPT-Neo,291
As they ran,"As they ran a very strong campaign at the start of the year, the campaign had gone through a lot of development, not just in terms of the campaign, but on how to take this platform forward, and to get people talking and to support it",GPT-2,52
The deer froze,"The deer froze in the woods, and the men were
sick and tired.",BLOOM,395
The sun rose,The sun rose and the wind blew.,BLOOM,573
The stone revealed,The stone revealed that the stone was a lie.,OPT,567
As they farmed,"As they farmed for the first time, the two men were attacked by a group of men who beat them with sticks and stones.",OPT,41
The light flickered,"The light flickered in the dark, and the light was
shining in the dark.",BLOOM,475
With a chisel,"With a chisel, I cut the top of the top of the top of the top of the top of the top of the top of the top of the top of the top of the top of the top of the top of the top of the",BLOOM,626
The candle glowed,The candle glowed in the darkness.,OPT,348
The ice melted,"The ice melted, and the ice was broken up into small pieces.",BLOOM,452
She encrypted the,She encrypted the text messages to make sure they weren't being shared and found them on a list of things that was later passed along to authorities.,GPT-2,242
The makeup transformed,The makeup transformed into a real-life look of her looking up at the sky where a lightbulb showed up.,GPT-2,482
The flower bloomed,The flower bloomed and blossomed all the way from the tip of her toes to the end of her nose.,GPT-Neo,430
"Gently, she lifted","Gently, she lifted her head; one of these days, when she and her daughter, who are still very old and sick, had their babies that day in our house, while she was alone.",GPT-2,94
"Quietly, he moved","Quietly, he moved to the side of the bed and sat down.",Falcon-7B,220
He donned the,He donned the mask of a man who had been through the fire and was now a survivor.,Falcon-7B,111
The fire dwindled,"The fire dwindled, and the fire was extinguished.",BLOOM,421
He walked towards,"He walked towards the door, and then he turned around and walked back towards the door.",OPT,143
He stepped forward,"He stepped forward, and I looked around at people and said we gotta shut down the damn thing.",GPT-2,133
"Carefully, he poured","Carefully, he poured the
water into the vessel, and then, with a little force, drew it out of
the vessel, and poured it into the vessel again.",BLOOM,77
She looked away,"She looked away, her eyes filling with tears.",Falcon-7B,248
With a cheer,"With a cheer, the crowd at the University of California, Berkeley, erupted in applause when a student named “Dylan” was announced as the winner of the university’s annual “Dylan Thomas Prize” for his",OPT,624
"Carefully, she placed","Carefully, she placed the glass on the table and then turned to face him.",Falcon-7B,86
She turned around,She turned around and looked at me.,Falcon-7B,275
The glasses toasted,"The glasses toasted her face, and she turned her head and her eyes met his.",GPT-Neo,440
The curtains fluttered,The curtains fluttered in the breeze.,OPT,390
The wine breathed,The wine breathed in by the cat is the wine of the gods.,OPT,612
He stepped back,He stepped back and let the other guy get the kill.,OPT,132
As they drove,"As they drove through the city, they saw a large crowd of people, and they were amazed at the number of people who were there.",BLOOM,35
"Slowly, he kneaded","Slowly, he kneaded his hand across the front of his pants, then down the inside of his thigh, pulling his sweat pants and boxers to his knees and then, with his hands, up his legs to his waistband, pulling",GPT-Neo,287
The seed sprouted,"The seed sprouted as quickly and as soon as seed sprouts spread, my husband went to see his friend.",GPT-2,547
The door closed,The door closed behind them.,GPT-2,402
He picked up,He picked up his glass to say something only to realize that his words were unspeakable and his mouth was open while he choked.,GPT-Neo,120
"Carefully, she lifted","Carefully, she lifted her head and looked at him.",OPT,84
The rain ceased,"The rain ceased, and the water from the stream splashed upon the grass of
the valley.",GPT-Neo,528
He lifted the,He lifted the lid of the box and peered inside.,Falcon-7B,113
With a smile,"With a smile, he said, “You’re not the only one.",BLOOM,649
With a gasp,"With a gasp of wind from the back of the car, one of the two girls took a couple of steps behind him.",GPT-2,637
The bell rang,The bell rang.,GPT-Neo,323
"Carefully, he aimed","Carefully, he aimed for the head.",OPT,72
With a laugh,"With a laugh, the 6-foot-3, 220-pounder said, ""I'm not sure.",Falcon-7B,642
With a poof,"With a poof of a curtain, two hundred members of the public took their place on the stage of the Royal Agricultural Hall on a grey wet November day.",GPT-Neo,646
With a gasp,"With a gasp, I realized that I had been reading the comments on the article.",OPT,637
"Carefully, he lifted","Carefully, he lifted his hands from the sides of the bed and slowly, as he had seen the younger men do so, lifted one foot out.",GPT-Neo,74
He reached out,He reached out to me on Facebook and asked if I wanted to go to a concert with him.,OPT,124
The light flickered,"The light flickered on and off, and then it went out.",OPT,475
The test passed,"The test passed, meaning the app is ready for the App Store.",GPT-Neo,580
The fire crackled,"The fire crackled and sizzled in front of her, and she knew that she could not be far from the camp.",GPT-Neo,418
The door slammed,The door slammed shut and the man in the doorway slumped at the end of the couch.,GPT-2,405
The lunch crowd,The lunch crowd at the new “The Lunch Box” in downtown St.,Falcon-7B,480
The leaves drifted,"The leaves drifted away from the tree, and the
wonderful scene was over.",BLOOM,467
In the basement,"In the basement of the old church in the middle of the night, I was about to go to sleep.",OPT,152
The car honked,"The car honked, and the engine whirred as the other went.",GPT-2,352
As they brainstormed,"As they brainstormed the idea of a new game, they realized that they had to make it a game that would be fun for everyone.",OPT,26
She held her,She held her head high.,GPT-Neo,247
As they invented,"As they invented the first ever 3D printed gun, Defense Distributed has now come up with a new 3D printed gun that can be assembled in just 30 minutes.",Falcon-7B,44
"Slowly, she breathed","Slowly, she breathed in the air and the wind was
soft and gentle.",BLOOM,295
In the attic,"In the attic of a house in the middle of the night, I heard a noise.",OPT,148
With a sigh,"With a sigh of relief, I sat down again with the file in my lap and looked through the columns.",GPT-Neo,648
In the library,"In the library, the data is a list of all those that appear within the list.",GPT-2,184
The camera clicked,The camera clicked on the wrong person.,OPT,341
The victory secured,"The victory secured the club's first league title since the 2012-13 season, and the first in the club's history.",OPT,596
She stirred the,"She stirred the pot of soup, then turned to face him.",Falcon-7B,273
The flavors melded,The flavors melded together so well.,OPT,429
"Gently, he stroked","Gently, he stroked me back, and asked me if I'd mind if any of this time I had food on my stomach.",GPT-2,90
With a nod,"With a nod from his wife, her father was able to find peace as he passed and remained with the city, keeping up the daily life of the city and the living it had taken in order to support his children during the war.",GPT-2,644
The kite soared,"The kite soared high above the clouds, and the wind was blowing hard.",OPT,463
With a frown,"With a frown, the man sat bolt upright and looked to his left.",GPT-Neo,635
"Quietly, she crept","Quietly, she crept into the dark room outside the door and knocked.",GPT-2,224
With a laugh,"With a laugh, the man said: ""I'm not going to be a politician.",OPT,642
The moon rose,The moon rose for another twenty-four hours.,GPT-2,490
As they laughed,"As they laughed, the little boy smiled, then began to cry.",GPT-Neo,45
The fire blazed,"The fire blazed, then sizzled, then flared.",GPT-Neo,417
"Quietly, he whispered","Quietly, he whispered into the phone, ""Okay, I'm going to put her on now.",GPT-Neo,223
The evidence pointed,"The evidence pointed to a person who’s the perfect combination of evil and clueless (who has a lot to learn), with a side of meek-but-strong that makes him tough to stop.",GPT-Neo,414
The dust settled,The dust settled on the surface of the surface of the surface of the surface of the surface of the surface of the surface of the surface of the surface of the surface of the surface of the surface of the surface of the surface of the surface of the,BLOOM,409
The door closed,The door closed behind her.,GPT-Neo,402
In the forest,"In the forest, the trees are usually small and the trees are usually small and the trees are usually small and the trees are usually small and the trees are usually small and the trees are usually small and the trees are usually small and the trees are usually",BLOOM,173
With a bullseye,"With a bullseye, a bullseye, a bullseye, a bullseye, a bullseye, a bullseye, a bullseye, a bullseye, a bullseye, a bullseye",BLOOM,623
The path wound,The path wound is a very important part of the wound healing process.,BLOOM,510
In the greenhouse,"In the greenhouse, the sun is the only light source.",OPT,178
The stone revealed,"The stone revealed, it's almost as if the wall had been waiting all this time for something like this to happen.",GPT-Neo,567
He conducted the,"He conducted the orchestra for the first time in 2008, and has since conducted the orchestra in a number of concerts.",Falcon-7B,107
"Slowly, he descended","Slowly, he descended.",GPT-2,285
The clock struck,The clock struck 1:00 a.,GPT-Neo,371
The grass grew,"The grass grew in the garden, and the grass grew in the garden.",BLOOM,442
The wind blew,The wind blew hard and the rain fell in sheets.,Falcon-7B,608
He reached for,"He reached for his pen, which had drawn water into it, and wrote ""Lecticibus.",GPT-2,123
With a sigh,"With a sigh, I put the phone down.",Falcon-7B,648
The arrow flew,"The arrow flew over the water, and the boat was
swimming away.",BLOOM,309
The map unfolded,The map unfolded in front of him.,Falcon-7B,483
The colors blended,The colors blended together so well.,BLOOM,376
The grass grew,"The grass grew, the animals came and went.",GPT-Neo,442
As night deepened,"As night deepened on the night before the two fought on, I heard someone shouting ""Rough time, huh?",GPT-2,14
Slowly but surely,"Slowly but surely, he was trying to find an excuse to fight back, then to go to the gym.",GPT-2,283
The flower bloomed,The flower bloomed only on the first day of the month.,GPT-Neo,430
In the basement,"In the basement of the old church in the middle of the night, I was about to go to sleep.",OPT,152
The art emerged,"The art emerged from the 1960s and 1970s, when the United States was in the midst of a civil rights movement and the Vietnam War.",Falcon-7B,310
As they deciphered,"As they deciphered the data, they found that the data were not consistent with the hypothesis that the data were not consistent with the hypothesis that the data were not consistent with the hypothesis that the data were not consistent with the hypothesis that the data were",BLOOM,34
"Gently, she planted","Gently, she planted her hand on his arm and kissed him.",BLOOM,97
The alarm blared,The alarm blared at 5:30 a.,Falcon-7B,306
In the competition,In the competition for the No.,GPT-Neo,161
The moon rose,"The moon rose into the sunlight, and the moon began to move up with the wind.",GPT-2,490
The flower wilted,The flower wilted and died.,OPT,432
In the garden,"In the garden, there are two red-sided plants covered in seeds.",GPT-2,177
She danced to,"She danced to her own drumbeat, keeping up her rhythm and pace for nearly three hours.",GPT-Neo,239
As they climbed,"As they climbed the stairs, the sound of the music grew louder.",Falcon-7B,30
The song peaked,"The song peaked at #1 on the Billboard Hot 100 in the US, and #1 on the UK Singles Chart.",OPT,560
The leaves fell,"The leaves fell silently this past November, slowly, as if the world were ending, as if the autumn wind were blowing out their existence.",GPT-Neo,468
In the cafeteria,"In the cafeteria at my school, there was a guy who would always sit at the table next to me.",OPT,155
As they listened,"As they listened to the music, the students were asked to write down their thoughts about the music.",Falcon-7B,46
The smoke drifted,"The smoke drifted away across the blue water and over the beach, and all the heat was gone.",GPT-Neo,553
The cat meowed,The cat meowed.,GPT-Neo,358
As they baked,"As they baked, the cookies were a little flat.",Falcon-7B,25
He cast the,He cast the spell of the curse on the man who had been his servant.,BLOOM,105
The future neared,"The future neared when the first of the two men who had been
taken to the island was found dead.",BLOOM,436
The crowd cheered,The crowd cheered as the “Dancing with the Stars” winner was announced.,Falcon-7B,382
"Slowly, she opened","Slowly, she opened her eyes at the white marble, like a young woman standing before a wall with a beautiful face.",GPT-2,297
The whiteboard filled,"The whiteboard filled with diagrams of the new plans, the same ones that had been drawn in her head.",GPT-Neo,606
In the forest,"In the forest outside, one saw a man riding a horse.",GPT-2,173
"Gently, she touched","Gently, she touched the skin of her face and said, “You’re not the only one who’s been in trouble.",BLOOM,102
As they invented,"As they invented the idea of self-driving cars, Mercedes-Benz, Ferrari and BMW all have been at it for years, as their innovations have enabled them to develop and drive supercars that can do just about anything as cheaply, efficiently, as",GPT-2,44
She turned away,She turned away and looked at the man who was standing in the doorway.,BLOOM,276
With a shrug,"With a shrug, he gave his own introduction to the program.",GPT-2,647
The flavors melded,The flavors melded seamlessly and each flavor is unique.,GPT-2,429
The curtains fluttered,"The curtains fluttered and fell, he could make out through the gaps what it was.",GPT-Neo,390
"Quietly, she moved","Quietly, she moved to the back of the room, and began to read the book.",OPT,227
As night deepened,"As night deepened, they tramped through the streets, past the lights of the city: the lights of London illuminated her, and she saw nothing, neither before nor behind or within.",GPT-Neo,14
"Gently, she placed","Gently, she placed her hand on his chest.",OPT,96
The waterfall roared,"The waterfall roared, and the water was like a white dragon, rushing down the cliff.",Falcon-7B,601
The chapter ended,"The chapter ended, with a bang.",GPT-2,362
She admired the,She admired the way he was able to keep his eyes open and his mouth shut.,BLOOM,233
"Slowly, he turned","Slowly, he turned his head to look at her.",OPT,292
With trembling hands,"With trembling hands, the man in the white shirt and red tie stood before the camera.",OPT,668
In the vault,"In the vault, there is a small room with a door that leads to a small room with a door that leads to a small room with a door that leads to a small room with a door that leads to a small room with a door that",OPT,211
The code compiled,"The code compiled by the compiler is
//
//    #include <unistd.",BLOOM,374
The makeup transformed,The makeup transformed the face of the young woman.,BLOOM,482
He decided to,He decided to go to the hospital because he was having trouble breathing.,OPT,109
As they talked,"As they talked, the sun rose higher in the sky, and the heat of the day began to build.",Falcon-7B,60
As they brainstormed,"As they brainstormed the possibilities, they realized that the best way to do it was to use a combination of the two.",BLOOM,26
The butterfly landed,The butterfly landed on the flower and I was able to capture this image.,Falcon-7B,340
"Gently, she lifted","Gently, she lifted her head, and with a tiny smile, turned her head to let him kiss the corner of her mouth.",GPT-Neo,94
She turned around,She turned around and looked at the man who was standing in the doorway.,BLOOM,275
"Slowly, he poured","Slowly, he poured a glass of the water and began working through his head.",GPT-2,290
The colors blended,"The colors blended together so well, I had to take a picture of it.",Falcon-7B,376
The moment captured,The moment captured the public imagination.,GPT-Neo,487
With great effort,"With great effort, I have managed to get my hands on a copy of the new book by the author of the “The 4-Hour Workweek” – Tim Ferriss.",Falcon-7B,667
"Gently, he stroked","Gently, he stroked her hair.",Falcon-7B,90
The ice cracked,"The ice cracked after a massive thunderstorm struck the region of Greenland, giving its eastern and western tip some of the world's best ice, scientists said Tuesday.",GPT-2,449
In the basement,"In the basement of her Toronto home, Mandy Harris works on her second novel.",GPT-Neo,152
"Quietly, he practiced","Quietly, he practiced the idea of living in a society where social norms were so tightly connected.",GPT-2,221
The bell chimed,"The bell chimed, and the crowd of students and faculty erupted in cheers.",OPT,321
The ice melted,"The ice melted, the snow melted, the sun came out, and the birds started singing.",Falcon-7B,452
With a heavy,"With a heavy heart, I am sorry to hear of the loss of your beloved husband.",BLOOM,641
The flower wilted,"The flower wilted, then fell, and the spider climbed out.",GPT-Neo,432
As they ran,"As they ran a mile, they had to stop at a point on the side where two other people could pass carrying the same load of potatoes.",GPT-Neo,52
She stirred the,She stirred the wine and the wine stirred the wine.,BLOOM,273
With a click,"With a click of a button, you can now order your favorite food from your favorite restaurants.",Falcon-7B,629
She shaped the,"She shaped the world of fashion and beauty with her iconic magazine, and now, Vogue editor-in-chief Anna Wintour is taking on the world of film.",Falcon-7B,266
As they waited,"As they waited for the final result, the students were asked to write down their thoughts on the topic.",BLOOM,64
As night fell,"As night fell on September 26th, an explosive device was found inside the home of Hadi, 24 years old, who was killed by his parents when they got out of their car.",GPT-2,15
